,Momentum,EnergyCold,EnergyHot
79,-4.09334778306311e-22,-1.90441556805502e-18,-1.69542956788093e-19
80,-7.51575650680191e-22,-1.46525101583778e-18,-1.9867323484443e-19
81,1.55709120668887e-22,-1.62420064927263e-18,-1.41957118996624e-19
82,2.75164637987917e-22,-1.63989432704179e-18,-8.1463500231597e-20
83,-3.87040646436932e-23,-1.73613361924356e-18,-1.51125950967126e-19
84,9.79759643671902e-23,-1.95733792301997e-18,-1.6883874834256e-19
85,-1.06524538440629e-22,-1.6869587321517e-18,-1.89204241206048e-19
86,2.42390577900849e-23,-1.54945657413725e-18,-1.19164978779329e-19
87,5.44008238604959e-23,-1.68970904253675e-18,-1.65396525713085e-19
88,-1.76831707017598e-22,-1.92119149991245e-18,-1.37678227506051e-19
89,-2.28135726301991e-22,-1.88447406911921e-18,-1.71880251307761e-19
90,2.17802833077662e-22,-1.73414265274263e-18,-1.82541157552547e-19
91,-2.73944456687819e-22,-1.59298360224994e-18,-2.32875742148713e-19
92,1.8707993093007e-22,-1.59376675927441e-18,-1.47104015870093e-19
93,2.36599997057011e-22,-1.68985870688194e-18,-1.03274128553558e-19
94,-1.9172713770511e-22,-1.80373200211102e-18,-2.02521416539883e-19
95,-2.86014274557909e-22,-1.6714082468107e-18,-1.15479966986687e-19
96,-7.40645088024653e-22,-1.81766357696316e-18,-1.44581544682235e-19
97,-8.27655450898931e-22,-1.82280744409117e-18,-2.20274437249903e-19
98,1.73714058763055e-22,-1.74594279291878e-18,-2.54108976000316e-19
99,-3.38479645356384e-23,-1.62651231580661e-18,-1.96725748112815e-19
100,-2.52429583002493e-22,-1.72458981584386e-18,-1.91438053676096e-19
101,-2.19161291792984e-22,-1.3833569349735e-18,-2.40959698133459e-19
102,-8.52173110056658e-22,-1.78983147268416e-18,-2.19338083270444e-19
103,6.0926689147936e-23,-1.81060574095337e-18,-2.29422396100793e-19
104,1.18911936931769e-22,-1.53017903113154e-18,-1.37526638302145e-19
105,-2.4915296836289e-22,-1.61716015142602e-18,-1.85597175827239e-19
106,-1.8305900929971e-22,-1.5631566768072e-18,-1.89252186710899e-19
107,-2.53850018558641e-22,-1.78036838641742e-18,-2.1476060159193e-19
108,-4.60634030144869e-22,-1.61322932595368e-18,-2.19645265894285e-19
109,-1.96477659849175e-22,-1.88580546391763e-18,-1.65807839301111e-19
110,-2.11711530288042e-22,-1.66027385981325e-18,-1.76118543940222e-19
111,-2.33170240386974e-22,-1.93913174933167e-18,-1.43795204261189e-19
112,-1.34878871142464e-22,-1.74707011483663e-18,-1.80253168941028e-19
113,-4.95089572136841e-22,-1.73598780240194e-18,-1.45770767151935e-19
114,-1.83407634329996e-22,-1.6805397408379e-18,-1.75962724292607e-19
115,-4.80456023132703e-22,-1.74753808585527e-18,-2.28312860618118e-19
116,-3.3386345522567e-23,-1.89454621430773e-18,-1.49676727908698e-19
117,-2.56036232373608e-22,-1.66482358408262e-18,-2.32094909533496e-19
118,-2.25057241117743e-22,-1.74208122839831e-18,-1.78171589279571e-19
119,1.6152184195998e-22,-1.82114592325916e-18,-9.55589620203921e-20
120,-1.73414261463372e-22,-1.65712961924042e-18,-2.11632565934249e-19
121,-2.1572809286916e-22,-1.75535683906435e-18,-1.73239528469203e-19
122,4.16298525570655e-22,-1.83503505502918e-18,-2.58807516508452e-19
123,6.80027775771604e-22,-1.69074850732974e-18,-1.22997414153332e-19
124,3.35350414788994e-22,-1.71032650795763e-18,-2.23521338035271e-19
125,-9.98124754411612e-22,-1.90647224063627e-18,-1.8439774142594e-19
126,-1.77732100322439e-22,-1.76292975400873e-18,-1.01921637708725e-19
127,-7.16873303030877e-22,-1.77549874045892e-18,-1.7883526932385e-19
128,-3.61506437405226e-23,-1.82231023083042e-18,-1.1982556137197e-19
129,-2.43453880724263e-22,-1.78838454630144e-18,-1.58552795689173e-19
130,4.22600938866323e-22,-1.8421180172589e-18,-7.44719156788468e-20
131,-4.14617556081619e-23,-1.71797546335927e-18,-1.50933944029568e-19
132,-3.37759536334351e-22,-1.89352828359179e-18,-1.45099588801872e-19
133,4.19926814771074e-22,-1.89015577696611e-18,-1.82645575048107e-19
134,-5.32740029394826e-22,-1.61056876031798e-18,-1.53998200437151e-19
135,-4.67523261178012e-22,-1.76579963189264e-18,-1.60476499788704e-19
136,-2.85508518581386e-22,-1.7104258402179e-18,-2.11732196103874e-19
137,-1.17579341485793e-22,-1.66916534892273e-18,-9.75130165553421e-20
138,2.52464037002444e-23,-1.52250742556219e-18,-1.93295514686418e-19
139,-7.78706583170329e-22,-1.7180709027508e-18,-1.72815750232059e-19
140,6.25578982449337e-23,-1.63143755545809e-18,-1.27039998897061e-19
141,-4.72750275975732e-22,-1.6142597377589e-18,-1.5886120064327e-19
142,-2.20881765100853e-22,-1.89600215944407e-18,-1.35289731429538e-19
143,-1.97569003982527e-22,-1.68245485706358e-18,-1.37063190492518e-19
144,-1.57693229266458e-22,-1.55749569066349e-18,-1.19748112894527e-19
145,-5.76661791148322e-22,-1.47906762673727e-18,-1.37251635168923e-19
146,-7.65034298066083e-23,-1.56372930600284e-18,-2.54392919794296e-19
147,-1.25651235225505e-23,-1.79106985650691e-18,-1.75321142004401e-19
148,4.70844899765477e-22,-1.39882938861682e-18,-1.88627676767638e-19
149,8.51987752645284e-22,-1.61737031610666e-18,-2.46676567075537e-19
150,-1.13993909585834e-22,-1.79511985930722e-18,-2.08700843812098e-19
151,-4.577411339032e-22,-1.58939143305622e-18,-1.786627176161e-19
152,4.33744502691534e-22,-2.0087329592058e-18,-1.78982017600599e-19
153,-6.93683500969536e-22,-1.65457865864198e-18,-1.97315030522081e-19
154,-3.5776582695389e-22,-1.66876788318449e-18,-1.50240316354326e-19
155,6.99574417664012e-22,-1.74662677916768e-18,-1.8711867704254e-19
156,-7.68372741728026e-22,-1.67536340995244e-18,-1.71703947052214e-19
157,-6.35846841152999e-22,-1.71505001862122e-18,-1.80396743884359e-19
158,-4.38503379994038e-22,-1.64806071023837e-18,-2.17205752127831e-19
159,-3.90263373288057e-22,-1.42398624612712e-18,-1.74854150338595e-19
160,-5.07725613089138e-23,-1.56416324324804e-18,-1.28436620846438e-19
161,-1.79146181075761e-22,-1.69583459942686e-18,-1.36746426017291e-19
162,-9.7997308150569e-23,-1.74125481423295e-18,-1.34248585086282e-19
163,-3.59923382422218e-24,-1.6117440586099e-18,-1.88838199771733e-19
164,-3.16866127922375e-22,-1.69081278927826e-18,-1.5623201166378e-19
165,1.1426221294742e-22,-1.68331962873225e-18,-1.75153795402858e-19
166,-1.01516703654394e-21,-1.7435993442902e-18,-2.00637731123839e-19
167,6.54618873452694e-22,-1.89152723316767e-18,-1.32947179731712e-19
168,1.14687212028879e-22,-1.68599197836897e-18,-1.2990116208907e-19
169,-2.12316909408409e-22,-1.72061949099516e-18,-1.64234238139551e-19
170,-3.67277983481889e-22,-1.58271752521098e-18,-1.74872135586778e-19
171,-1.8201953837205e-22,-1.5066054312362e-18,-1.19792279629156e-19
172,-5.76386744921099e-22,-1.41852922253929e-18,-1.96599977407007e-19
173,-8.7684905399413e-23,-1.67430125394541e-18,-1.89784010665409e-19
174,1.15904515084201e-21,-1.86222577761394e-18,-1.08998175261263e-19
175,6.97758807198259e-22,-1.54939176116819e-18,-9.20156675634988e-20
176,-6.72091028232379e-23,-1.64924635626915e-18,-2.25631954572765e-19
177,-2.59529686892962e-22,-1.63968766058869e-18,-2.3209074147697e-19
178,4.77490441675645e-23,-1.65821129016962e-18,-1.55202714352062e-19
179,-8.12915147494789e-22,-1.70396284627843e-18,-1.5367894175476e-19
180,3.12985830292328e-22,-1.55225856871428e-18,-1.57223039249946e-19
181,-1.0084084675808e-21,-1.72768931129886e-18,-2.70715895013478e-19
182,-1.99169595180416e-22,-1.46411414936746e-18,-1.88710428494487e-19
183,4.47438903889292e-22,-1.60651010194931e-18,-1.50936407596873e-19
184,1.73539295608773e-22,-1.84392520608818e-18,-1.40198624282442e-19
185,-1.24553838325659e-22,-1.55840587526985e-18,-1.07985839785356e-19
186,-5.57699780932588e-22,-1.70128627998319e-18,-8.65767741979212e-20
187,-3.1038143457194e-22,-1.58322557559139e-18,-1.55402915483681e-19
188,-7.93751423905111e-23,-1.79047159417903e-18,-1.31608497377545e-19
189,-5.29299769152061e-22,-1.56940358411077e-18,-2.04828833523024e-19
190,-2.85637564616898e-22,-1.53723559545115e-18,-1.8531916040501e-19
191,2.64300675213929e-22,-1.57805581511944e-18,-1.5705006504203e-19
192,-3.65284984675671e-22,-1.54236876082024e-18,-2.1250278151755e-19
193,1.81671243469499e-22,-1.7247758108334e-18,-1.42978649853753e-19
194,-7.43942573662945e-23,-1.55866903053961e-18,-1.97911971456987e-19
195,2.66463572037973e-22,-1.78205306641734e-18,-1.92885326123785e-19
196,6.00694959405485e-22,-1.76602664770858e-18,-1.14418358235719e-19
197,3.93379772282592e-22,-1.57242671487562e-18,-1.27936192999373e-19
198,2.19132038071515e-22,-1.55769539098879e-18,-1.13090766237527e-19
199,-1.32839533444312e-22,-1.7792037707982e-18,-2.47305994203312e-19
200,-4.73177856267894e-22,-1.69340279277754e-18,-1.91799011409547e-19
201,4.19299019926894e-22,-1.47338470253465e-18,-1.41546616971461e-19
202,2.15349907192477e-22,-1.6156776188851e-18,-1.18402839344379e-19
203,4.0233840693745e-22,-1.62657890561471e-18,-1.51161176251018e-19
204,2.00887178864667e-22,-1.61926197956404e-18,-8.32461921779475e-20
205,2.76413128806563e-22,-1.77492599999751e-18,-1.70317481487045e-19
206,2.41607067777516e-22,-1.46121585246457e-18,-2.57525501814595e-19
207,-4.08071410709985e-22,-1.53925877121399e-18,-1.71745850929426e-19
208,1.9804358548444e-22,-1.60251756068881e-18,-1.99496589378958e-19
209,-1.70405979532297e-22,-1.64075649981945e-18,-1.85540519422891e-19
210,-3.17589366004833e-23,-1.80917678699473e-18,-2.47467039282475e-19
211,-6.00232316042786e-22,-1.63432627728308e-18,-1.49338960055266e-19
212,-3.2436232921198e-22,-1.61918735742326e-18,-1.17513301817335e-19
213,-6.663811320073e-22,-1.63107649070269e-18,-2.66309137752051e-19
214,-9.52987905354604e-22,-1.51335793307243e-18,-1.99046198774611e-19
215,-1.37931225555307e-22,-1.48174981294665e-18,-1.77759074174592e-19
